,Unnamed: 0,row,stu_num,riazi_1,fizik_1,mabani_kamputer,riazi_2,fizik_2,ri_gosaste,barname_pishrafte,moadelat_def,amar_va_eh,sakhteman_dadeh,medar_mantaghi,mabani_fanavari,sex,memari_com,mabani_e_didit,o_va_m_modiriat,os,tarahi_alg,nazariye,os_tarahi_DB,eghtesad_mohandesi,moadel
13,13,14,8513331130,12,11.5,15,11.25,14.25,13.25,9,12,14.75,9,10.5,14.75,m,13.5,13,13.5,17,18,15.25,9,14.7,14.32
14,14,15,8513331140,11.5,9,9.9,11.75,12.75,12.5,20,11.5,11,10.25,19,14.5,m,18.25,12,14,16,17,15,18,14.1,14.49
15,15,16,8513331150,11,10,17.6,10,9.75,12.25,14.6,12.5,15,17.5,13,13.2,m,16.75,13.5,16,18.5,15.4,16.25,16,18.6,15.02
16,16,17,8513331160,11,9,17.2,13.5,8,13.25,6.5,15.25,12.5,10,11,12.9,f,14,9.5,12.5,9.75,9.75,12,10,14,12.94
17,17,18,8513331170,9.25,7,9,12,10,12.5,9.8,12,9.5,11.5,10,11.1,f,10.25,12,15.5,9.75,9.75,10,16,16.5,12.42
18,18,19,8513331180,13,8.5,18.1,12,9.5,10,13,10,12.5,12.9,11.25,15.25,m,15.75,15,15,14.5,13.6,10,18.5,15.4,14.31
19,19,20,8513331190,9,0,13.7,14.5,9,11.5,10,10,9,9,12.25,17.1,m,13.5,10,12,12,9.75,10.5,9,10,12.83
20,20,21,8513331200,12.25,0,10,10,12.5,11.5,9,10,9.5,14,18.5,18,m,12,11,15,12.25,12,14.25,16.5,10,13.63
21,21,22,8513331210,14.5,11.5,14.4,13.25,17.25,12,10,13,12.5,14.1,12.5,19.6,m,15.25,15,17.5,11.5,15.3,10,16,17.8,14.86
22,22,23,8513331220,13,9,14.1,14,11.5,13.25,16.5,13.5,12,12.5,8.5,19.1,m,16.75,17.5,15,16.75,19.4,13.25,19.5,19,15.23
23,23,24,8513331230,13.25,12.5,14.2,13.5,13.5,11.25,8,15,11.75,13,13.5,17.35,m,14,11.5,15,10.5,9.75,9.75,14,14.6,14.07
24,24,25,8513331250,15.25,10.5,19,17.25,19.75,18,20,13,15,17.6,15.6,16,m,17,13,16,15.5,12,11.75,13,18.5,16.43
25,25,26,8513331260,11,13.6,15.1,9,18.5,14.5,12,5,13.5,12,11,15.4,f,14.5,11.5,17,9.75,15,9.75,11,13.5,14.74
26,26,27,8513331270,11.25,12,16.7,10,14.25,9.75,8,12,12.5,9.5,13.5,14.25,m,15.25,16,15,13,15,10,12.25,10,13.87
27,27,28,8513331280,12,13.5,17.2,10,15,13,10.5,12.5,11.25,12.3,13.5,14.75,f,13.75,9.5,12.5,16.5,15.3,13.25,13.5,15.1,14.42
28,28,29,8513331290,11,10.5,19,11.5,11,12.25,17.5,10,17,15.6,16.5,18.1,m,15.75,16.5,18,18.5,15.3,13.75,15,18.5,16.17
29,29,30,8513331300,13,10.5,13.2,13,12,10.5,9.5,15,15,17.5,15.5,19.1,m,13.75,17.5,13.5,11,9.75,10.5,13.5,16.7,14.67
30,30,31,8513331310,13.75,14,19.8,14.5,14.5,11.25,15.5,11,14,17.9,13,17,m,15,10,12,15.5,13.6,17,16.5,14.5,14.82
31,31,32,8513331320,15.25,12.5,15.5,15,13.5,14.75,7.5,15,17.5,10,16.5,19,f,18,16.5,13,16.5,17.5,16,14.5,16.2,15.68
32,32,33,8513331330,15.5,9.5,18.2,15.25,9,12,17.5,12,11.25,13.2,12.5,17,m,14.75,11,13,12.5,10.5,10.5,16.5,13.2,14.05
33,33,34,8513331340,15.75,14.25,15,17.5,16.5,14,10,18,11.5,11.8,13.5,18.8,f,13,9.5,14.5,10,9.5,10,12.75,12.9,14.98
34,34,35,8513331350,14,12,0,16.25,10.5,12,10,14,111,8.5,12,16.8,m,14.25,9.5,12,15,16,12.5,14.5,10,11.9
35,35,36,8513331360,11.25,12,9.9,15.75,14.25,10.75,14.3,12.5,16.75,13,15.5,18.1,f,15,11,13,13.5,15.5,13.75,16,13.6,14.48
36,36,37,8513331370,13,13,13,14.75,16,14.5,16.5,13,13.5,16.2,19.5,17,m,18,17,19,18.5,16.7,15.5,16,20,16.78
37,37,38,8513331380,13.75,10,16.3,9,10.75,10,11.5,13,16,16.9,14,15.9,m,15.5,17.5,14,12,12.5,10.5,17,16.4,14.81
38,38,39,8513331390,11,7,16.5,11.75,12,6,10,12,10,10,13.25,11.9,m,13,14,12.5,11.5,10,13,12.5,11,12.25
39,39,40,8513331400,11,9.5,8.5,11.75,6,12,11.6,20,19,10.25,13,16.4,f,13,15,16,11.5,13,16.75,11,12,14.05
40,40,41,8513331410,14,15.5,16.7,14.25,19.5,16,19,14.5,12.25,18.5,13,20,f,13.5,17.5,15,10.25,13.5,10,12,9.5,12.79
41,41,42,8513331410,11,6,8,9,13.3,13,10.6,10.5,12.5,8.5,17.5,16.1,m,13.5,9.5,15,10.25,0,10,12,9.5,13.01
42,42,43,8513331420,11,0,9,11.75,13,14,14.2,10,16,11.75,15,16.8,m,14.25,17.5,16.5,14,14.5,15,15,14.8,14.86
43,43,44,8513331430,11.5,8.5,9.9,16.75,11.25,11.75,10,11.25,10.5,10.25,13.2,16.7,f,13,13,15,10,10,11.25,10,12.3,12.89
44,44,45,8513331470,13.25,8.5,19,16.25,9,13.5,18.5,16,16.25,15.6,18.5,11,m,12,14,18.5,12.75,12,11.25,16.5,14,15.29
45,45,46,8513331480,13.25,13,12.9,13.75,12.5,13,6,14.75,15,8.5,14.5,17.1,f,15.25,17,18.5,15.5,10,11.25,13.5,15.75,15.36
46,46,47,8613331010,15.5,11,13.5,10,7,11,10,16.5,16,14,16.6,12.78,f,12.89,16,19.25,12.5,9.75,15,17,17,14.62
47,47,48,8613331020,10,11,20,10,9.5,11,14.5,9,12.5,16,11.1,17.25,m,10.92,13,16.5,12.5,9.75,10,14,17,13.93
48,48,49,8613331030,10,11.25,17,11.5,16.5,13.5,9.5,16.5,16,14,10.4,11.9,m,10.92,10,15,13.75,14,15,17,18,14.9
49,49,50,8613331040,13.75,12,10,9.5,9.5,12,6.5,13,14,9.5,13.5,14.95,m,10,9.5,17.75,10.25,11,12,10,13,12.89
50,50,51,8613331050,12,11,16.5,9.5,6,8.5,10.5,9,9.5,9.5,14.5,18.6,m,17,11,18,16.25,12,15.75,14,13,12.46
51,51,52,8613331070,13.5,13.5,15,19.5,15.5,11.5,12.6,15.5,17.6,11.55,17,17.2,m,16,14.26,14,13.5,20,15.25,15.5,15,15.59
52,52,53,8613331080,15,12,14,10,10,14,7,15,13.75,13.25,15,12.35,m,13.42,18,18.75,12,13.5,16.25,17.5,18,14.92
53,53,54,8613331090,14,10,11.5,13.75,10,13,9.8,12.5,18,11.75,14.9,20,f,12,12,19.25,14,15.5,12.5,16.5,12.75,14.55
54,54,55,8613331110,11,8.5,8,16.5,10,9,13,13.5,15,10,12.6,10.85,f,12,18,18.75,10,13.5,15,12,11.75,13.22
55,55,56,8613331120,13,8,9.5,17.25,15.5,12,18.6,12.5,14.5,10,15.5,16.4,f,14.32,10,18.75,13.25,16,15.75,17.5,18.5,14.69
56,56,57,8613331130,12,8,9.8,11,12,10.5,14,9,9.5,10,10,12.55,m,12.17,16,16.5,11.75,8,10,13.5,10,12.79
57,57,58,8613331140,10,11,12.5,10,15,12.5,6.5,12.5,17.5,16,16.4,14.05,m,12.35,16,18.75,16,17.5,16.5,18,18.5,15.18
58,58,59,8613331150,16.25,10.5,9,16.75,8.75,14,11.25,14,17,8.5,15.6,13.85,f,12.17,10,18.75,12.25,12.5,16,15.5,17.5,14.39
59,59,60,8613331160,14,10.75,13.5,12.25,13.75,11,11,11,16.75,11.5,13.6,10.85,f,10.03,9.5,16.5,10.5,13,10.75,17,9.75,13.6
60,60,61,8613331170,10,13,16,10.5,7,10.5,18.5,11,13.75,11.5,15.5,12.2,m,12.71,15,16.5,13,10,13.5,16.5,12.75,14.04
61,61,62,8613331180,11.5,10,9.5,18.75,10,13,12.25,20,17.25,9.25,20,17.05,f,11.28,11,17.75,12,10,15,15,16.5,14.47
62,62,63,8613331190,12.25,12,16.5,10.5,10,11.5,8.5,11.5,11,11.5,14.2,13.5,m,12.53,9.5,19.5,10.25,9,10,11,14,13.74
63,63,64,8613331210,10,8.5,9.5,14.25,9,11.5,9.5,17.5,15.75,13,14.7,16.3,f,10 .21,11,19.25,10.5,12.5,10,11,13.5,13.51
64,64,65,8713331010,16.25,13.6,8,10,8,18,9.75,7,10,9.72,17,14,m,10,9.5,17,11.25,9.75,14,10,10,12.41
65,65,66,8713331030,12,10.2,9.5,9,7,19.5,9.75,7,9,10.37,14,15,m,16,14,18,9,9.49,10.5,10.5,10,12.69
66,66,67,8713331040,14.25,6.3,13,12.5,14,13.75,16.75,13,9,17.75,15.5,14.5,m,14,9.5,20,11,10,10,14.5,15,13.81
67,67,68,8713331060,10.5,10.4,12,8.5,8.5,16.5,10.5,9,12.5,9.25,11,15.25,m,12.25,9.5,17.5,10,12.1,10,15.8,12,12.14
68,68,69,8713331070,8.75,13.4,13,10,10.5,12,13,8,9.5,18,13,16.25,m,4,17,15,18.23,14.2,11,15,9,13.72
69,69,70,8713331080,10,9.3,10,10.5,9.5,17,12.5,7,10.5,14.5,16,14.5,f,11.25,9.5,16.25,12.5,11.5,10.5,14.5,14,13.32
70,70,71,8713331090,17.75,10,13.75,9,10.5,17.75,9,13.75,9.75,9.3,14,11.25,f,11,10,16,12.5,10,9.75,9,14.5,13.06
71,71,72,8713331100,10,11.9,14,9,7,16.5,9.75,11.5,12.25,13.66,18,12.25,f,15,14,20,16.5,9.44,10.75,14.5,14.5,14
72,72,73,8713331110,19,11.8,14.5,15.5,14.5,20,14.9,15.5,15.5,16.5,20,16,f,17.5,11,20,17.25,13.5,18,13,20,16.38
73,73,74,8713331120,16.25,11.5,12,9,7,16.75,9,12,10,9.43,14,13,f,11,9.5,20,13.5,9.81,11.5,10,11.75,13.59
74,74,75,8713331130,15.25,11.1,13,11,7,18.5,9.75,7,9,14.82,15,17,f,19.5,18,19.25,20,12.3,20,15.5,16,14.93
75,75,76,8713331140,16,15.4,12,16.5,10,18.5,16.25,15.75,14.5,17,16,17,f,15.5,16,20,18.5,10.7,15.25,17,18.5,16.25
76,76,77,8713331150,20,17.2,9.5,19.5,18,20,17,18.5,17.25,20,18,17.25,f,17.5,15,20,20,11,17.5,16.5,18.5,17.7
77,77,78,8713331160,14,12.5,17,10,11,20,18.5,13.75,13.5,19.25,19,18.25,m,16.5,10,20,16.75,17,17.25,19.5,16,15.84
78,78,79,8713331170,10.25,17,20,11.5,18,19.75,20,7,10,19.25,18.5,19,m,4,17,15,18.23,14.2,11,15,9,13.23
79,79,80,8713331180,17.75,15.2,19.5,11.5,15.5,19,17.5,10,9.75,19,18.25,17.75,m,17,16,18.5,15,18,17.5,17.5,10,15.26
80,80,81,8713331190,15.75,13.1,9.8,12.5,8,17,12,10.25,9,15.25,17.5,19.5,m,12.25,14,20,15.25,9.63,11.5,16.5,9,14.66
81,81,82,8713331210,20,18.1,19.75,17.5,18,20,17.6,16,15.5,16,15,16.25,m,19,18,20,17.25,17,19.25,18,19,17.86
82,82,83,8713331220,16.75,10.7,11.5,10,7,19.75,13.3,9.5,13.25,15,20,11.5,f,19,15,20,18.5,17,17.25,19,19,15.45
83,83,84,8713331230,19.5,13.9,14.5,13,12,19.25,14.7,18,14,15.75,16.25,14.75,f,14,15,15.25,15.75,12,17,16,19,15.62
84,84,85,8713331240,16,10.3,14,9,12,17.25,12.5,11.5,11.25,17.5,20,11.75,f,18,17,20,17.75,10,15.25,19.5,16,15.4
85,85,86,8713331250,10.5,11.8,10.5,9,8,17.5,11.25,9.75,11,12.89,14.5,13,f,11.25,11,20,16.25,10,11.25,13,15.25,13.45
86,86,87,8713331270,17.5,12,8.5,14,12,18,12.25,9.75,12,9,14,15,m,14.5,14,20,16,9.72,13.25,14,17,14.73
87,87,88,8713331280,10,11.9,13.5,8.5,7,11.75,10,9,9,10,9,12,m,16,9.5,17.25,13.18,11,10,14,10,11.38
88,88,89,8713331290,15.75,12.5,13,12.5,7.5,19.5,9.75,12.5,9.25,16.51,18,12.5,m,14.5,14,18.75,16.5,9.77,13.5,17,11.5,14.59
89,89,90,8713331300,14.25,12.7,13.5,8.5,10.5,13,9.75,13.5,12.69,16,16,13.5,f,10.5,16,18,11.25,10,10,10.5,20,14.29
90,90,91,8713331310,13.75,9,8.5,9,13.5,19.25,9.75,9,11.75,17.07,16.5,10,f,15.25,11,20,14.5,13,16.25,14.5,16.5,13.5
91,91,92,8713331320,13.75,12.6,9.5,10,7,17.75,9.75,7.5,11.5,10.73,17.5,9.75,f,13.25,11,14.5,12.5,10,10,10,13,12.41
92,92,93,8713331330,13.25,8.3,9.2,11,15,19.5,10,14,13,11.38,17.5,16.5,f,15,15,20,14.25,9.4,13.5,12.75,18.5,14.7
93,93,94,8713331340,15.5,8.3,11,10,9.5,11.75,14.75,10,15,10,14,9.75,m,13,10,15.75,11.25,9.17,10,9.5,17,13.06
94,94,95,8713331350,17.25,10,9.8,11.5,10,19,12,18,11,16.5,17,15,f,16,17,20,15.75,10.2,15.25,16,18.5,15.81
95,95,96,8713331360,16,8.2,13.5,9.5,9,10,9.75,9.5,10,17.75,20,14.45,f,15.25,18,20,20,10.1,17.5,14.75,20,14.07
96,96,97,8713331370,15,12.3,9.8,8.5,12,17,14.5,14.5,10.5,12.69,14,12,f,15.5,11,20,13.5,9.43,12,12,18.5,14.26
97,97,98,8713331400,12.5,9.1,9.8,10,13.75,17,12.5,14,10.8,13,14,13.75,m,12.25,15,17.5,17,10,12.5,19.5,11.75,14.03
